"Step","num_layers: 3 - Test/RangeResNorm","num_layers: 3 - Test/RangeResNorm__MIN","num_layers: 3 - Test/RangeResNorm__MAX","num_layers: 2 - Test/RangeResNorm","num_layers: 2 - Test/RangeResNorm__MIN","num_layers: 2 - Test/RangeResNorm__MAX","num_layers: 7 - Test/RangeResNorm","num_layers: 7 - Test/RangeResNorm__MIN","num_layers: 7 - Test/RangeResNorm__MAX","num_layers: 1 - Test/RangeResNorm","num_layers: 1 - Test/RangeResNorm__MIN","num_layers: 1 - Test/RangeResNorm__MAX","num_layers: 5 - Test/RangeResNorm","num_layers: 5 - Test/RangeResNorm__MIN","num_layers: 5 - Test/RangeResNorm__MAX","num_layers: 6 - Test/RangeResNorm","num_layers: 6 - Test/RangeResNorm__MIN","num_layers: 6 - Test/RangeResNorm__MAX","num_layers: 4 - Test/RangeResNorm","num_layers: 4 - Test/RangeResNorm__MIN","num_layers: 4 - Test/RangeResNorm__MAX","num_layers: 8 - Test/RangeResNorm","num_layers: 8 - Test/RangeResNorm__MIN","num_layers: 8 - Test/RangeResNorm__MAX"
"37","0.5958413928747177","0.5745151042938232","0.6145164370536804","0.5203322917222977","0.4847429394721985","0.5466634035110474","0.7276064902544022","0.7021462917327881","0.7390590310096741","0.37633606046438217","0.35765260457992554","0.3919920027256012","0.6709229797124863","0.6552561521530151","0.6915692090988159","0.7107374370098114","0.6776909232139587","0.7376174926757812","0.63913993537426","0.6126257181167603","0.6716377139091492","0.7562731951475143","0.7460393905639648","0.7658432722091675"
"38","0.6005445718765259","0.5834327936172485","0.6138344407081604","0.5210941284894943","0.4833170771598816","0.549333393573761","0.7265398800373077","0.6987510323524475","0.7375444769859314","0.3768851161003113","0.35824501514434814","0.3911557197570801","0.67101089656353","0.6558632850646973","0.689818263053894","0.7128364741802216","0.6858665347099304","0.733647346496582","0.6428212523460388","0.6188431978225708","0.6707984209060669","0.7574159055948257","0.7458311915397644","0.766801655292511"
"39","0.6028217077255249","0.5852656364440918","0.61407870054245","0.5266061872243881","0.48842209577560425","0.5539878010749817","0.7259936183691025","0.6984890103340149","0.7362381219863892","0.3787716031074524","0.3596290349960327","0.3930971026420593","0.6698959022760391","0.6552773118019104","0.6889020800590515","0.7141637206077576","0.6898753643035889","0.7339065670967102","0.6458190828561783","0.6223987340927124","0.6721599698066711","0.7549151480197906","0.7465865612030029","0.7649273872375488"
"40","0.6046262681484222","0.5907077193260193","0.6158159971237183","0.5284401103854179","0.48614612221717834","0.5580668449401855","0.725910484790802","0.700922966003418","0.7368767261505127","0.37928925454616547","0.3610359728336334","0.3920816481113434","0.6708809733390808","0.6559622287750244","0.6892898082733154","0.7156379371881485","0.6937318444252014","0.7363547682762146","0.6480626910924911","0.6261886358261108","0.6718827486038208","0.7584608346223831","0.7487766146659851","0.7689414024353027"
"41","0.6059606224298477","0.5993837118148804","0.6150873303413391","0.5330291539430618","0.491512656211853","0.5631370544433594","0.7281180024147034","0.7010800838470459","0.7398061156272888","0.38041744381189346","0.36243003606796265","0.393032968044281","0.6713666766881943","0.6552092432975769","0.6899840831756592","0.7158993184566498","0.6945405602455139","0.7373313307762146","0.6507571935653687","0.6328130960464478","0.6717365384101868","0.75684654712677","0.7467281818389893","0.7698947191238403"
"42","0.6069886386394501","0.6044216156005859","0.6143360137939453","0.5366936773061752","0.4917672276496887","0.5670085549354553","0.7272170931100845","0.7017479538917542","0.7393778562545776","0.38208209723234177","0.3628217577934265","0.3948337137699127","0.6718371361494064","0.6547930240631104","0.6902061700820923","0.7168572694063187","0.6929213404655457","0.7383877038955688","0.6523690968751907","0.6366573572158813","0.6693812012672424","0.7583464831113815","0.7508915662765503","0.767900288105011"
"43","0.6093406677246094","0.6061651110649109","0.6142863631248474","0.539873331785202","0.4961699843406677","0.5692663788795471","0.7281742841005325","0.7025542855262756","0.7385091185569763","0.38239724189043045","0.36411237716674805","0.39544910192489624","0.6720198690891266","0.6547538042068481","0.6915351748466492","0.71785968542099","0.6956005096435547","0.7383220791816711","0.6540613025426865","0.6397573947906494","0.6698741912841797","0.7591598182916641","0.7491719126701355","0.7692276835441589"
"44","0.6108496487140656","0.6072531938552856","0.6158952116966248","0.5433707535266876","0.4971535801887512","0.5727237462997437","0.728090301156044","0.703643262386322","0.7406530976295471","0.38390635699033737","0.3651602864265442","0.39965593814849854","0.6735505014657974","0.6566871404647827","0.6928389072418213","0.7185506373643875","0.6975791454315186","0.7400340437889099","0.6554956585168839","0.642375111579895","0.6710002422332764","0.7604192793369293","0.7515715956687927","0.7713492512702942"
"45","0.612938642501831","0.6085474491119385","0.6176892518997192","0.5461984723806381","0.5014417171478271","0.5734338760375977","0.7282578498125076","0.7032991647720337","0.7409544587135315","0.38534990698099136","0.36627596616744995","0.4022834599018097","0.6735610961914062","0.6582254767417908","0.6931958794593811","0.717875674366951","0.696494996547699","0.7378116250038147","0.6554089337587357","0.6428374648094177","0.6705577969551086","0.7606103122234344","0.7495584487915039","0.7719221711158752"
"46","0.6144994050264359","0.6078646183013916","0.6241317987442017","0.5485471040010452","0.5039734244346619","0.5750324130058289","0.7290797084569931","0.7020403146743774","0.740871012210846","0.3856384605169296","0.36682701110839844","0.4044394791126251","0.6735291182994843","0.6589479446411133","0.6923684477806091","0.7189169824123383","0.6967471837997437","0.7390227913856506","0.6568284630775452","0.6444621682167053","0.6737449765205383","0.7598326057195663","0.7490896582603455","0.769411027431488"
"47","0.6159172058105469","0.6095545887947083","0.6259661316871643","0.551780179142952","0.50827956199646","0.5775532722473145","0.7282474488019943","0.7027093768119812","0.7387853860855103","0.3871702030301094","0.36805564165115356","0.4075314402580261","0.674025222659111","0.6583350300788879","0.6909332275390625","0.7196269333362579","0.6954023241996765","0.7418929934501648","0.656526729464531","0.6445178985595703","0.6715661883354187","0.7603574395179749","0.7503823637962341","0.769950270652771"
"48","0.6152122467756271","0.6086404919624329","0.6264920830726624","0.553393691778183","0.5102986097335815","0.5784234404563904","0.729586273431778","0.7055549621582031","0.7390837073326111","0.38811735063791275","0.36907678842544556","0.4097341299057007","0.6743342280387878","0.6601426005363464","0.6917642951011658","0.71918885409832","0.6965610384941101","0.7391987442970276","0.6568206250667572","0.6460030674934387","0.671119749546051","0.7618117183446884","0.750059962272644","0.7729777693748474"
"49","0.6152806431055069","0.6084020137786865","0.6278778910636902","0.5553896129131317","0.5137783885002136","0.5780686140060425","0.7302180081605911","0.7062392830848694","0.7401849627494812","0.38878150284290314","0.3694921135902405","0.4128686487674713","0.6753574758768082","0.6626718640327454","0.692149817943573","0.7211493998765945","0.699912965297699","0.7402647733688354","0.6564178168773651","0.6467641592025757","0.6712762117385864","0.7602464258670807","0.7510731816291809","0.7730503678321838"
"50","0.6115312973658243","0.6079736351966858","0.6173032522201538","0.5571576058864594","0.5179978609085083","0.5783843398094177","0.7243163287639618","0.7079942226409912","0.7406384348869324","0.3907434046268463","0.3710794746875763","0.41572046279907227","0.6624072194099426","0.6624072194099426","0.6624072194099426","0.7218104600906372","0.7010572552680969","0.7411765456199646","0.6563996225595474","0.6458598971366882","0.6716439723968506","0.762651522954305","0.7501683831214905","0.7727810144424438"
