"Step","ModelType.GCN.8","ModelType.GCN.8__MIN","ModelType.GCN.8__MAX","ModelType.GCN.7","ModelType.GCN.7__MIN","ModelType.GCN.7__MAX","ModelType.GCN.6","ModelType.GCN.6__MIN","ModelType.GCN.6__MAX","ModelType.GCN.5","ModelType.GCN.5__MIN","ModelType.GCN.5__MAX","ModelType.GCN.4","ModelType.GCN.4__MIN","ModelType.GCN.4__MAX","ModelType.GCN.3","ModelType.GCN.3__MIN","ModelType.GCN.3__MAX","ModelType.GCN.2","ModelType.GCN.2__MIN","ModelType.GCN.2__MAX","ModelType.GCN.1","ModelType.GCN.1__MIN","ModelType.GCN.1__MAX"
"1","0.66055828332901","0.27076709270477295","1.224784016609192","0.7809462994337082","0.6468101143836975","0.883944571018219","0.6464918404817581","0.5328943133354187","0.7805861234664917","0.6596624478697777","0.2923974096775055","0.917290210723877","0.745074562728405","0.4725949466228485","1.1350674629211426","0.6925606653094292","0.4763493835926056","0.9862585663795471","0.5504594594240189","0.4119804799556732","0.6960365772247314","0.3948077857494354","0.2077484428882599","0.5810617208480835"
"2","0.824599377810955","0.31083980202674866","1.0392203330993652","0.7793683707714081","0.5250019431114197","0.8907158374786377","0.8027321249246597","0.43110060691833496","1.0832575559616089","0.7592300996184349","0.3992975056171417","1.0293269157409668","0.5456797033548355","0.2831933796405792","1.052779197692871","0.5834200829267502","0.3870801329612732","0.7286693453788757","0.5104703679680824","0.3720480799674988","0.6583318114280701","0.5416579693555832","0.4033008813858032","0.7712162137031555"
"3","1.1269523054361343","0.8692284226417542","1.300269603729248","1.069639042019844","0.9399256110191345","1.3350995779037476","1.0312089920043945","0.9907212257385254","1.0858620405197144","0.9011270254850388","0.818946361541748","0.9814837574958801","0.7617868781089783","0.4881708025932312","0.9676316976547241","0.8425837457180023","0.6813725233078003","0.9642308950424194","0.6096182614564896","0.4414965510368347","0.7044630646705627","0.4733976200222969","0.28668397665023804","0.7297880053520203"
"4","0.9684354811906815","0.8037931323051453","1.210632085800171","0.9796241521835327","0.8806861042976379","1.0747220516204834","0.979290634393692","0.8941330909729004","1.0631002187728882","1.0347581952810287","0.9272065758705139","1.130964756011963","0.8175932765007019","0.4170369505882263","1.0496728420257568","0.8523672223091125","0.7148011922836304","0.9645063877105713","0.6705589443445206","0.6018152236938477","0.8193902969360352","0.39981231838464737","0.35052478313446045","0.49633413553237915"
"5","1.0646596997976303","0.8532739281654358","1.235754132270813","1.1868222057819366","1.0876883268356323","1.4333804845809937","1.0864263325929642","0.9113127589225769","1.2247015237808228","1.0544381141662598","0.9877661466598511","1.130845546722412","0.7971858084201813","0.5475156307220459","0.9794021248817444","0.9414867609739304","0.8061048984527588","1.0237786769866943","0.7478180527687073","0.6452115774154663","0.8512335419654846","0.3909897953271866","0.35046786069869995","0.4301035404205322"
"6","1.1005932241678238","0.9349567294120789","1.26954984664917","1.0916920900344849","0.9784884452819824","1.2483494281768799","1.099666267633438","0.8737833499908447","1.1889480352401733","1.094251275062561","0.9969155788421631","1.1853657960891724","0.9432428628206253","0.8249071836471558","1.007982611656189","0.9049161672592163","0.8064558506011963","0.9979764819145203","0.7833044975996017","0.6743418574333191","0.861114501953125","0.3671559914946556","0.3390503227710724","0.39482203125953674"
"7","1.073453962802887","0.9121434688568115","1.2242552042007446","1.2010597586631775","1.1335935592651367","1.3822437524795532","1.1061186343431473","0.9598678946495056","1.2059215307235718","1.0632541626691818","0.9962229132652283","1.149163007736206","0.9582036882638931","0.9208821058273315","1.0123672485351562","0.9345969706773758","0.8521518111228943","0.976466715335846","0.8374321907758713","0.7753657698631287","0.8808920979499817","0.37510042637586594","0.3602690100669861","0.38694825768470764"
"8","1.0949213057756424","0.9912613034248352","1.1779212951660156","1.146768182516098","1.0858337879180908","1.2476649284362793","1.1294040083885193","0.9867151975631714","1.2277305126190186","1.1002638041973114","1.0713685750961304","1.1367478370666504","1.0236650556325912","0.9903035759925842","1.1015390157699585","0.9165317118167877","0.8316711187362671","0.9707192182540894","0.850427895784378","0.7842617630958557","0.8971913456916809","0.39220810681581497","0.37163862586021423","0.41460803151130676"
"9","1.1341399550437927","1.0818889141082764","1.1902251243591309","1.1746277809143066","1.1480002403259277","1.2357817888259888","1.1402371227741241","1.0537177324295044","1.1726106405258179","1.0900764465332031","1.0336261987686157","1.1229746341705322","1.0434520095586777","0.9957068562507629","1.1488089561462402","0.9450980871915817","0.8621406555175781","0.992254912853241","0.8646973222494125","0.8224889636039734","0.8995251655578613","0.38060685247182846","0.3753507733345032","0.38516873121261597"
"10","1.1381897032260895","1.0873979330062866","1.1797815561294556","1.1769615709781647","1.1457405090332031","1.2051044702529907","1.1476222276687622","1.0689047574996948","1.1917221546173096","1.1115668714046478","1.0879201889038086","1.1238418817520142","1.0676544457674026","0.9965639710426331","1.1820992231369019","0.9479065239429474","0.8704855442047119","0.9907891154289246","0.8552017658948898","0.8345662951469421","0.8683411478996277","0.3777419254183769","0.3653268814086914","0.3883380889892578"
