"Step","ModelType.GCN.8","ModelType.GCN.8__MIN","ModelType.GCN.8__MAX","ModelType.GCN.7","ModelType.GCN.7__MIN","ModelType.GCN.7__MAX","ModelType.GCN.6","ModelType.GCN.6__MIN","ModelType.GCN.6__MAX","ModelType.GCN.5","ModelType.GCN.5__MIN","ModelType.GCN.5__MAX","ModelType.GCN.4","ModelType.GCN.4__MIN","ModelType.GCN.4__MAX","ModelType.GCN.3","ModelType.GCN.3__MIN","ModelType.GCN.3__MAX","ModelType.GCN.2","ModelType.GCN.2__MIN","ModelType.GCN.2__MAX","ModelType.GCN.1","ModelType.GCN.1__MIN","ModelType.GCN.1__MAX"
"11","1.1601498425006866","1.1238205432891846","1.2119041681289673","1.200947254896164","1.1672959327697754","1.2411830425262451","1.158555507659912","1.0934157371520996","1.2009766101837158","1.1303384900093079","1.092310905456543","1.1629102230072021","1.0714093744754791","1.0112065076828003","1.1716415882110596","0.9526920467615128","0.8816620707511902","1.0053437948226929","0.8490991592407227","0.8400352597236633","0.8585741519927979","0.3874906077980995","0.38492006063461304","0.3898412883281708"
"12","1.171742558479309","1.1400068998336792","1.209784984588623","1.2050301134586334","1.1716843843460083","1.2241877317428589","1.1694921255111694","1.1136339902877808","1.209731101989746","1.1454929411411285","1.1091585159301758","1.167763113975525","1.0700278580188751","1.008551001548767","1.1759984493255615","0.9673364609479904","0.8836475610733032","1.0309926271438599","0.8533265292644501","0.8459449410438538","0.8657155632972717","0.384774774312973","0.3790241777896881","0.3918592035770416"
"13","1.1839900612831116","1.1570073366165161","1.2202397584915161","1.2156076729297638","1.1866233348846436","1.2385894060134888","1.177098035812378","1.120404839515686","1.2159007787704468","1.1597188413143158","1.128635287284851","1.183625340461731","1.0799864530563354","1.0297914743423462","1.160266637802124","0.9751833230257034","0.8900607228279114","1.0378450155258179","0.8443319499492645","0.8353900909423828","0.8506143093109131","0.3818841427564621","0.37162885069847107","0.3900977373123169"
"14","1.1986187994480133","1.1656924486160278","1.2245343923568726","1.2222660183906555","1.2008240222930908","1.2343182563781738","1.1878719627857208","1.1459934711456299","1.2192672491073608","1.1767131984233856","1.1446470022201538","1.1969959735870361","1.0950831770896912","1.0397114753723145","1.161878228187561","0.9840540140867233","0.8905453681945801","1.0414683818817139","0.8476938009262085","0.8398826122283936","0.8578435778617859","0.3853323236107826","0.38341212272644043","0.38635629415512085"
"15","1.2058616280555725","1.1787803173065186","1.227294683456421","1.2302585244178772","1.2116787433624268","1.2415581941604614","1.194878339767456","1.1512598991394043","1.2215591669082642","1.1804530024528503","1.1614819765090942","1.1977386474609375","1.10909104347229","1.0474176406860352","1.1636379957199097","0.9964542537927628","0.9067610502243042","1.0569242238998413","0.8435754925012589","0.8396384716033936","0.8530221581459045","0.38532764464616776","0.379550963640213","0.3940982520580292"
"16","1.2121237516403198","1.1856549978256226","1.2255418300628662","1.2315312325954437","1.217905044555664","1.238120436668396","1.2045982480049133","1.180838942527771","1.2304272651672363","1.1892074048519135","1.1755319833755493","1.2006771564483643","1.1235482394695282","1.0682222843170166","1.175360918045044","1.008735105395317","0.9040890336036682","1.0708712339401245","0.843076154589653","0.8289330005645752","0.8514634370803833","0.38714221864938736","0.3827601373195648","0.394091933965683"
"17","1.2223405838012695","1.1958845853805542","1.2379218339920044","1.2361930310726166","1.2271010875701904","1.2424529790878296","1.2083972692489624","1.184671401977539","1.2316179275512695","1.1952998042106628","1.1796602010726929","1.2036309242248535","1.1243494749069214","1.0629217624664307","1.172229290008545","1.0159156620502472","0.9215679168701172","1.0754446983337402","0.8591668605804443","0.845349133014679","0.8669546246528625","0.37839842587709427","0.3541122078895569","0.3875001072883606"
"18","1.2290320992469788","1.1994050741195679","1.249896764755249","1.2371672093868256","1.2264282703399658","1.2444031238555908","1.2125349342823029","1.193635106086731","1.234894871711731","1.1979171931743622","1.1839557886123657","1.2106013298034668","1.137992650270462","1.093456506729126","1.1848009824752808","1.0279175341129303","0.9209965467453003","1.1010717153549194","0.8571225106716156","0.8412336111068726","0.8704954981803894","0.3847932890057564","0.3759114146232605","0.3895379900932312"
"19","1.233110398054123","1.2071460485458374","1.2557647228240967","1.2413923144340515","1.2303922176361084","1.2506884336471558","1.2176416218280792","1.2023166418075562","1.2395970821380615","1.2049272954463959","1.19571852684021","1.2191296815872192","1.1411339044570923","1.0890454053878784","1.187160611152649","1.0463832020759583","0.9365675449371338","1.1083438396453857","0.8416861593723297","0.8325316905975342","0.8487104177474976","0.3795958533883095","0.3592793047428131","0.38994380831718445"
"20","1.2399799525737762","1.2129429578781128","1.2620834112167358","1.243981808423996","1.2379703521728516","1.2517625093460083","1.2243799269199371","1.2145999670028687","1.2461631298065186","1.210140198469162","1.2033066749572754","1.2210112810134888","1.1505191624164581","1.103049635887146","1.187402606010437","1.0517075508832932","0.9446173310279846","1.1169915199279785","0.8297469466924667","0.8167874813079834","0.8422122001647949","0.38193415850400925","0.37669461965560913","0.38602492213249207"
