"Step","num_layers: 8 - Test/RangeResNorm","num_layers: 8 - Test/RangeResNorm__MIN","num_layers: 8 - Test/RangeResNorm__MAX","num_layers: 7 - Test/RangeResNorm","num_layers: 7 - Test/RangeResNorm__MIN","num_layers: 7 - Test/RangeResNorm__MAX","num_layers: 6 - Test/RangeResNorm","num_layers: 6 - Test/RangeResNorm__MIN","num_layers: 6 - Test/RangeResNorm__MAX","num_layers: 5 - Test/RangeResNorm","num_layers: 5 - Test/RangeResNorm__MIN","num_layers: 5 - Test/RangeResNorm__MAX","num_layers: 4 - Test/RangeResNorm","num_layers: 4 - Test/RangeResNorm__MIN","num_layers: 4 - Test/RangeResNorm__MAX","num_layers: 3 - Test/RangeResNorm","num_layers: 3 - Test/RangeResNorm__MIN","num_layers: 3 - Test/RangeResNorm__MAX","num_layers: 2 - Test/RangeResNorm","num_layers: 2 - Test/RangeResNorm__MIN","num_layers: 2 - Test/RangeResNorm__MAX","num_layers: 1 - Test/RangeResNorm","num_layers: 1 - Test/RangeResNorm__MIN","num_layers: 1 - Test/RangeResNorm__MAX"
"11","0.3792892023921013","0.3194480538368225","0.4230983853340149","0.3279501497745514","0.26478415727615356","0.3790535628795624","0.3539130464196205","0.3334444463253021","0.36733466386795044","0.3254547342658043","0.30175626277923584","0.3877502977848053","0.3027374967932701","0.2595767378807068","0.3490760922431946","0.28685759752988815","0.27862441539764404","0.29110392928123474","0.21103746071457863","0.17845045030117035","0.2260574996471405","0.09721215069293976","0.0603431761264801","0.1379471719264984"
"12","0.4143931046128273","0.30474531650543213","0.4622797667980194","0.3273990824818611","0.278319776058197","0.3733600676059723","0.3521993011236191","0.32540538907051086","0.3790286183357239","0.3277984783053398","0.30705007910728455","0.38390469551086426","0.313652902841568","0.28268834948539734","0.35763803124427795","0.2997800335288048","0.28866541385650635","0.30647939443588257","0.2264876551926136","0.18881216645240784","0.2461913377046585","0.10475121438503265","0.06982447952032089","0.14653737843036652"
"13","0.45906834304332733","0.2885948717594147","0.5619473457336426","0.33327700197696686","0.3085474371910095","0.3657664656639099","0.3502413481473923","0.3252566158771515","0.37653207778930664","0.3225591108202934","0.3002779483795166","0.3815235495567322","0.32203488051891327","0.30232664942741394","0.36102744936943054","0.30855047702789307","0.2987889349460602","0.31476396322250366","0.2407980114221573","0.1996830701828003","0.26478320360183716","0.1120221521705389","0.07953561097383499","0.15499864518642426"
"14","0.5162635445594788","0.29587000608444214","0.6580725312232971","0.3487258106470108","0.31845396757125854","0.3668653964996338","0.3458951786160469","0.3243667781352997","0.3701837360858917","0.32254891842603683","0.30214962363243103","0.3810169994831085","0.3285541385412216","0.3056800067424774","0.36097556352615356","0.3085995838046074","0.2959587872028351","0.3178929090499878","0.25314368307590485","0.2118961215019226","0.2795843482017517","0.11912834085524082","0.08871901035308838","0.1628609001636505"
"15","0.5570584535598755","0.2950713038444519","0.7261556386947632","0.36805783212184906","0.33297115564346313","0.41861140727996826","0.34488843381404877","0.3232452869415283","0.3606506586074829","0.32327786087989807","0.30105769634246826","0.3810827434062958","0.33231376111507416","0.3111152648925781","0.3554423451423645","0.3081877529621124","0.29546862840652466","0.318198025226593","0.2638790048658848","0.22503544390201569","0.290899395942688","0.12604930996894836","0.0928085595369339","0.17075814306735992"
"16","0.5708818212151527","0.30346569418907166","0.712608814239502","0.39175982773303986","0.3474837839603424","0.4903291165828705","0.3467812165617943","0.33060240745544434","0.35943496227264404","0.3272142708301544","0.3023527264595032","0.3813331127166748","0.33515504002571106","0.3213540315628052","0.3527429401874542","0.3058781921863556","0.29145941138267517","0.3180062174797058","0.2722482644021511","0.23790787160396576","0.29734036326408386","0.13252174481749535","0.09684626758098602","0.17766417562961578"
"17","0.5982640534639359","0.3076530694961548","0.7380643486976624","0.42175428569316864","0.36192381381988525","0.5668901801109314","0.34860820323228836","0.33832991123199463","0.3576604425907135","0.332503505051136","0.30103474855422974","0.3819921016693115","0.3372379392385483","0.3294539451599121","0.35258176922798157","0.30555152893066406","0.2915254235267639","0.3187115490436554","0.278857484459877","0.24937745928764343","0.3029728829860687","0.13839910551905632","0.10116583853960037","0.18436181545257568"
"18","0.6027479246258736","0.3159579336643219","0.71523517370224","0.45486244559288025","0.36142367124557495","0.6396965384483337","0.35355134308338165","0.3415817618370056","0.36626243591308594","0.34382282197475433","0.30607959628105164","0.38476112484931946","0.3389408737421036","0.3280728757381439","0.3498416543006897","0.30496179312467575","0.29006776213645935","0.3168894052505493","0.28276678919792175","0.25946325063705444","0.30394402146339417","0.14409315027296543","0.10508467257022858","0.19042207300662994"
"19","0.5997713878750801","0.32736751437187195","0.7116254568099976","0.4805763214826584","0.36467161774635315","0.677945077419281","0.36467039585113525","0.3420599699020386","0.3754647672176361","0.3588114008307457","0.307544082403183","0.3941385746002197","0.34422025084495544","0.32710161805152893","0.36489659547805786","0.3059655725955963","0.2879132330417633","0.3189278542995453","0.28549347817897797","0.26628363132476807","0.3049733340740204","0.14967489056289196","0.10933361202478409","0.1950507014989853"
"20","0.604553185403347","0.3436260521411896","0.7133964896202087","0.5188299641013145","0.36646339297294617","0.7075499892234802","0.38009654730558395","0.343524694442749","0.4128517210483551","0.3792436718940735","0.30716004967689514","0.44056299328804016","0.35060445219278336","0.3234715461730957","0.3968813419342041","0.30781570076942444","0.2871093153953552","0.32082661986351013","0.2870510593056679","0.26623818278312683","0.3050985336303711","0.1551480982452631","0.11455117911100388","0.19956675171852112"
